"LatD", "LatM", "LatS", "LonD", "LonM", "LonS"
   2018,000,9999,9,16,444
   2018,000,9999,9,17,528
   2018,000,9999,9,18,504
   2018,000,9999,9,99,6
   2018,000,9999,9,9999,58158
   2018,000,9999,9,77,58152
   2018,001,1,1,01,819
   2018,001,1,1,02,5157
   2018,001,1,1,03,2241
   2018,001,1,1,04,1422
   2018,001,1,1,05,186
   2018,001,1,1,06,723
   2018,001,1,1,07,636
   2018,001,1,1,08,1155
   2018,001,1,1,09,2076
   2018,001,1,1,12,156
   2018,001,1,1,13,2748
   2018,001,1,1,14,981
   2018,001,1,1,15,507
   2018,001,1,1,16,228
   2018,001,1,1,17,231
   2018,001,1,1,18,240
   2018,001,1,1,99,..C
   2018,001,1,1,9999,19515
   2018,001,1,1,77,19509
   2018,001,1,2,01,789
   2018,001,1,2,02,4869
   2018,001,1,2,03,2091
   2018,001,1,2,04,1314
   2018,001,1,2,05,174
   2018,001,1,2,06,702
   2018,001,1,2,07,582
   2018,001,1,2,08,1110
   2018,001,1,2,09,2043
   2018,001,1,2,12,138
   2018,001,1,2,13,2652
   2018,001,1,2,14,918
   2018,001,1,2,15,468
   2018,001,1,2,16,216
   2018,001,1,2,17,207
   2018,001,1,2,18,216
   2018,001,1,2,99,..C
   2018,001,1,2,9999,18492
   2018,001,1,2,77,18492
   2018,001,1,9,01,1608
   2018,001,1,9,02,10029
   2018,001,1,9,03,4332
   2018,001,1,9,04,2739
   2018,001,1,9,05,360
   2018,001,1,9,06,1422
   2018,001,1,9,07,1215
   2018,001,1,9,08,2265
   2018,001,1,9,09,4122
   2018,001,1,9,12,294
   2018,001,1,9,13,5397
   2018,001,1,9,14,1899
   2018,001,1,9,15,975
   2018,001,1,9,16,444
   2018,001,1,9,17,438
   2018,001,1,9,18,459
   2018,001,1,9,99,6
   2018,001,1,9,9999,38007
   2018,001,1,9,77,37998
   2018,001,2,1,01,681
   2018,001,2,1,02,1899
   2018,001,2,1,03,1215
   2018,001,2,1,04,954
   2018,001,2,1,05,258
   2018,001,2,1,06,501
   2018,001,2,1,07,252
   2018,001,2,1,08,630
   2018,001,2,1,09,690
   2018,001,2,1,12,39
   2018,001,2,1,13,618
   2018,001,2,1,14,192
   2018,001,2,1,15,153
   2018,001,2,1,16,57
   2018,001,2,1,17,45
   2018,001,2,1,18,75
   2018,001,2,1,99,..C
   2018,001,2,1,9999,8274
   2018,001,2,1,77,8271
   2018,001,2,2,01,648
   2018,001,2,2,02,1857
   2018,001,2,2,03,1191
   2018,001,2,2,04,891
   2018,001,2,2,05,246
   2018,001,2,2,06,480
   2018,001,2,2,07,228
   2018,001,2,2,08,540
   2018,001,2,2,09,693
   2018,001,2,2,12,33
   2018,001,2,2,13,573
   2018,001,2,2,14,168
   2018,001,2,2,15,138
   2018,001,2,2,16,42
   2018,001,2,2,17,54
   2018,001,2,2,18,72
   2018,001,2,2,99,..C
   2018,001,2,2,9999,7854
   2018,001,2,2,77,7854
   2018,001,2,9,01,1332
   2018,001,2,9,02,3753
   2018,001,2,9,03,2409
   2018,001,2,9,04,1848
   2018,001,2,9,05,504
   2018,001,2,9,06,981
   2018,001,2,9,07,483
   2018,001,2,9,08,1170
   2018,001,2,9,09,1383
   2018,001,2,9,12,72
   2018,001,2,9,13,1188
   2018,001,2,9,14,363
   2018,001,2,9,15,291
   2018,001,2,9,16,102
   2018,001,2,9,17,99
   2018,001,2,9,18,147
   2018,001,2,9,99,..C
   2018,001,2,9,9999,16128
   2018,001,2,9,77,16125
   2018,001,3,1,01,102
   2018,001,3,1,02,2493
   2018,001,3,1,03,273
   2018,001,3,1,04,144
   2018,001,3,1,05,33
   2018,001,3,1,06,132
   2018,001,3,1,07,36
   2018,001,3,1,08,141
   2018,001,3,1,09,435
   2018,001,3,1,12,3
   2018,001,3,1,13,243
   2018,001,3,1,14,69
   2018,001,3,1,15,33
   2018,001,3,1,16,6
   2018,001,3,1,17,18
   2018,001,3,1,18,24
   2018,001,3,1,99,..C
   2018,001,3,1,9999,4173
   2018,001,3,1,77,4173
   2018,001,3,2,01,108
   2018,001,3,2,02,2436
   2018,001,3,2,03,291
   2018,001,3,2,04,141
   2018,001,3,2,05,36
   2018,001,3,2,06,108
   2018,001,3,2,07,27
   2018,001,3,2,08,132
   2018,001,3,2,09,453
   2018,001,3,2,12,3
   2018,001,3,2,13,201
   2018,001,3,2,14,66
   2018,001,3,2,15,36
   2018,001,3,2,16,6
   2018,001,3,2,17,18
   2018,001,3,2,18,15
   2018,001,3,2,99,..C
   2018,001,3,2,9999,4080
   2018,001,3,2,77,4080
   2018,001,3,9,01,213
   2018,001,3,9,02,4932
   2018,001,3,9,03,564
   2018,001,3,9,04,282
   2018,001,3,9,05,69
   2018,001,3,9,06,240
   2018,001,3,9,07,60
   2018,001,3,9,08,273
   2018,001,3,9,09,888
   2018,001,3,9,12,6
   2018,001,3,9,13,444
   2018,001,3,9,14,132
   2018,001,3,9,15,72
   2018,001,3,9,16,12
   2018,001,3,9,17,36
   2018,001,3,9,18,36
   2018,001,3,9,99,..C
   2018,001,3,9,9999,8253
   2018,001,3,9,77,8253
   2018,001,4,1,01,72
   2018,001,4,1,02,3390
   2018,001,4,1,03,408
   2018,001,4,1,04,210
   2018,001,4,1,05,15
   2018,001,4,1,06,75
   2018,001,4,1,07,60
   2018,001,4,1,08,135
   2018,001,4,1,09,543
   2018,001,4,1,12,6
   2018,001,4,1,13,534
   2018,001,4,1,14,93
   2018,001,4,1,15,48
   2018,001,4,1,16,9
   2018,001,4,1,17,36
   2018,001,4,1,18,18
   2018,001,4,1,99,..C
   2018,001,4,1,9999,5652
   2018,001,4,1,77,5652
   2018,001,4,2,01,72
   2018,001,4,2,02,3312
   2018,001,4,2,03,387
   2018,001,4,2,04,165
   2018,001,4,2,05,15
   2018,001,4,2,06,72
   2018,001,4,2,07,51
   2018,001,4,2,08,132
   2018,001,4,2,09,483
   2018,001,4,2,12,3
   2018,001,4,2,13,576
   2018,001,4,2,14,87
   2018,001,4,2,15,42
   2018,001,4,2,16,6
   2018,001,4,2,17,27
   2018,001,4,2,18,21
   2018,001,4,2,99,..C
   2018,001,4,2,9999,5451
   2018,001,4,2,77,5451
   2018,001,4,9,01,144
   2018,001,4,9,02,6702
   2018,001,4,9,03,795
   2018,001,4,9,04,375
   2018,001,4,9,05,27
   2018,001,4,9,06,147
   2018,001,4,9,07,111
   2018,001,4,9,08,264
   2018,001,4,9,09,1026
   2018,001,4,9,12,12
   2018,001,4,9,13,1110
   2018,001,4,9,14,180
   2018,001,4,9,15,90
   2018,001,4,9,16,18
